trial_id,subject_id,timestamp_ms,label,risk_label,session_phase,rpe,load_level,label_quality,acc_up_x,acc_up_y,acc_up_z,gyro_up_x,gyro_up_y,gyro_up_z,mag_up_x,mag_up_y,mag_up_z,pitch_up,roll_up,yaw_up,acc_low_x,acc_low_y,acc_low_z,gyro_low_x,gyro_low_y,gyro_low_z,mag_low_x,mag_low_y,mag_low_z,pitch_low,roll_low,yaw_low
trial_unset,subject_unset,1880,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.4,50.0,3.9,11.7,-3.5,132.8,12.7
trial_unset,subject_unset,1900,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.4,50.0,3.9,11.7,-3.5,132.8,12.7
trial_unset,subject_unset,1920,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.4,50.0,3.9,11.7,-3.5,132.8,12.7
trial_unset,subject_unset,2020,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1803,-0.3713,-0.9177,-0.6104,-0.061,-0.3662,,,,,,,,,,,,,,,,,,
trial_unset,subject_unset,2040,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1803,-0.3713,-0.9177,-0.6104,-0.061,-0.3662,,,,,,,,,,,,,,,,,,
trial_unset,subject_unset,2060,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1803,-0.3713,-0.9177,-0.6104,-0.061,-0.3662,,,,,,,,,,,,,,,,,,
trial_unset,subject_unset,2160,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.4,50.0,3.9,11.7,-3.5,132.8,12.7
trial_unset,subject_unset,2180,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.4,50.0,3.9,11.7,-3.5,132.8,12.7
trial_unset,subject_unset,2200,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.4,50.0,3.9,11.7,-3.5,132.8,12.7
trial_unset,subject_unset,2460,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.07,0.75,-0.69,3.8,2.9,1.4,50.0,3.9,11.9,-3.9,133.2,12.9
